"CNTSTUID","ST188Q01HA","ST188Q02HA","ST188Q03HA","ST188Q06HA","ST188Q07HA","ST102Q02TA","ST102Q04TA","ST104Q03NA","ST152Q05IA","ST152Q08IA","ST100Q01TA","ST211Q01HA","ST211Q02HA","ST211Q03HA","ST213Q01HA","Sum"
41000008,3,3,3,3,3,4,4,4,3,3,4,4,4,4,4,20
41000010,3,3,1,3,3,2,4,1,3,3,1,2,2,2,3,21
41000019,3,4,2,4,2,3,3,1,2,2,2,3,2,2,3,13.5
41000057,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,14
41000074,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,9
41000079,3,3,3,3,3,2,2,2,2,2,2,3,2,3,3,5
41000105,2,3,2,2,3,3,3,2,2,2,2,2,2,2,3,15
41000154,2,4,4,2,3,4,4,3,3,3,4,3,3,4,4,6
41000171,3,3,2,3,3,4,3,2,2,3,4,3,3,3,4,11.5
41000173,3,3,2,3,3,4,4,1,4,3,4,2,4,4,4,13
41000178,2,4,2,3,3,4,4,4,4,4,4,4,4,4,4,15
41000187,4,4,3,3,3,2,4,3,2,3,4,3,3,3,3,2
41000261,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,13
41000278,3,3,2,2,3,3,3,1,3,2,3,3,3,2,3,13.66
41000283,3,3,3,3,3,4,4,1,4,4,3,2,2,2,2,11
41000366,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,0
41000398,3,4,3,2,2,4,4,2,3,3,3,3,2,3,3,17
41000447,3,4,3,4,4,3,3,2,3,3,3,3,3,3,3,22
41000464,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,5
41000472,3,3,2,3,3,2,4,2,2,2,3,2,2,2,3,3
41000535,1,4,2,2,2,4,4,2,3,3,4,3,3,3,2,7
41000604,3,3,3,3,3,4,4,4,4,4,4,3,3,3,4,8
41000631,4,4,4,4,4,3,3,1,1,1,3,2,2,2,1,17
41000646,2,3,3,3,3,3,4,3,3,3,3,2,2,3,3,14
41000727,4,4,3,4,4,2,4,3,4,2,2,3,3,4,3,11
41000745,2,3,2,2,3,2,3,2,3,3,2,3,3,3,3,6
41000753,3,3,3,3,3,4,4,3,4,4,4,3,3,3,3,8
41000808,3,3,1,2,2,2,3,1,2,2,2,2,3,3,3,16.5
41000839,3,3,3,2,2,2,1,2,1,1,3,2,2,2,1,17
41000846,3,2,2,3,3,3,3,2,2,2,2,1,1,1,2,5
41000948,3,3,2,4,4,4,4,1,3,2,3,3,3,3,4,14
41001001,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,23
41001006,3,3,2,2,2,3,3,2,2,2,3,3,3,2,3,14
41001017,3,3,1,3,3,4,4,3,3,4,4,4,4,4,4,4
41001064,3,4,1,2,2,2,2,2,3,2,2,2,3,2,3,17.5
41001152,3,2,2,2,2,3,3,1,2,1,3,2,NA,3,3,17
41001165,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,18
41001242,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,1
41001281,3,3,3,3,3,4,4,4,3,3,4,4,4,4,4,3
41001335,3,3,3,3,3,4,4,3,3,3,4,3,3,3,3,14
41001379,2,3,1,2,3,3,3,2,2,3,3,2,4,3,3,11
41001403,3,4,2,4,4,3,3,3,3,3,4,3,3,3,3,13
41001433,3,3,3,2,3,2,4,2,2,2,2,3,3,3,3,12
41001447,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,11
41001586,3,3,2,4,3,3,4,2,3,4,2,3,3,3,4,18.5
41001607,4,3,3,3,3,4,4,3,3,3,3,3,3,2,3,20
41001610,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,7
41001653,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,20
41001680,3,4,3,3,3,3,3,3,2,2,3,3,3,3,3,14
41001722,3,3,2,3,3,2,2,2,2,2,3,3,3,3,3,6
41001742,3,3,2,3,3,4,3,4,4,4,4,3,3,3,4,18
41001837,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10.5
41001845,2,2,2,2,2,2,2,1,2,4,2,1,1,1,1,1
41001883,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,22
41001919,2,4,2,2,2,3,3,4,1,1,4,4,4,4,4,3
41001956,2,2,2,2,2,1,2,2,2,2,1,3,3,3,3,8
41001965,2,2,3,3,3,3,4,3,1,4,4,3,3,3,4,4
41001997,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,7
41002155,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,14.5
41002187,3,4,2,2,2,4,4,2,2,3,3,3,3,3,4,21
41002255,3,4,2,1,2,3,3,2,2,2,3,3,3,3,3,6
41002272,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,14.33
